ЭД 0 43 59 76 93 118 151 184 218
АСТ 0 32 45 58 71 96 133 170 207
ФОБ 0 17 24 30 37 62 105 149 192
ОП 0 54 63 98 119 144 173 201 229
СЗ 0 61 71 110 135 160 185 211 236
