1 ЭД 0 25 49 74
2 ЭД 0 24 49 73
3 ОП 0 37 74 110
4 ЭД 0 27 53 80
5 ОП 0 32 65 98
6 ЭД 0 24 49 73
7 ФОБ 0 37 74 111
8 АСТ 0 30 61 91
9 ФОБ 0 28 56 85
10 СЗ 0 57 114 171
11 СЗ 0 43 86 129
12 ФОБ 0 29 58 87
13 АСТ 0 41 81 122
14 АСТ 0 29 58 87
15 ОП 0 31 61 92
